symbol,delisted_date,available_since,last_price,data_from_month,trading_days
oceanusdt,2024-06-27,2020-11-04,0.902,2024-05,0.0
wavesusdt,2024-06-12,2020-08-12,2.3945,2024-05,0.0
mdtusdt,2024-05-17,2023-06-30,0.06781,2024-04,0.0
audiousdt,2024-05-17,2021-08-19,0.1675,2024-04,0.0
glmrusdt,2024-05-16,2023-09-26,0.28058,2024-04,0.0
idexusdt,2024-05-16,2023-05-03,0.05651,2024-04,0.0
radusdt,2024-05-15,2023-05-10,1.604,2024-04,0.0
sntusdt,2024-05-14,2023-11-02,0.03777,2024-04,0.0
mblusdt,2024-05-14,2023-11-14,0.004194,2024-04,0.0
stptusdt,2024-05-14,2023-10-18,0.05377,2024-04,0.0
dgbusdt,2024-04-02,2021-04-21,0.01585,2024-03,0.0
antusdt,2024-04-02,2021-12-27,9.222,2024-03,0.0
ethusdt_240329,2024-03-30,2023-09-29,3400.82,2024-02,0.0
btcusdt_240329,2024-03-30,2023-09-29,62117.3,2024-02,0.0
footballusdt,2024-03-27,2022-09-01,495.1,2024-02,0.0
bluebirdusdt,2024-03-27,2022-11-02,11.237,2024-02,0.0
straxusdt,2024-03-16,2023-10-11,1.3315,2024-02,0.0
ethusdt_231229,2023-12-30,2023-08-18,2065.39,2023-11,0.0
btcusdt_231229,2023-12-30,2023-08-18,38007.6,2023-11,0.0
ethbusd,2023-12-12,2021-06-16,2053.93,2023-11,0.0
btcbusd,2023-12-12,2021-01-12,37732.4,2023-11,0.0
bnbbusd,2023-12-09,2021-07-28,227.89,2023-11,0.0
xrpbusd,2023-12-09,2021-08-09,0.6065,2023-11,0.0
tomousdt,2023-11-15,2020-10-12,1.7612,2023-10,0.0
btcusdt_230929,2023-09-30,2023-06-25,27116.2,2023-09,0.0
ethusdt_230929,2023-09-30,2023-06-25,1671.17,2023-09,0.0
solbusd,2023-08-29,2021-09-03,23.714,2023-07,0.0
ltcbusd,2023-08-25,2022-07-07,92.24,2023-07,0.0
dogebusd,2023-08-25,2021-08-18,0.07783,2023-07,0.0
adabusd,2023-08-18,2021-08-02,0.307,2023-07,0.0
maticbusd,2023-08-18,2022-07-13,0.6872,2023-07,0.0
trxbusd,2023-08-11,2022-05-26,0.077893,2023-07,0.0
dodobusd,2023-08-11,2022-05-25,0.0913,2023-07,0.0
aptbusd,2023-08-04,2022-10-25,7.035,2023-07,0.0
ftmbusd,2023-08-04,2022-05-24,0.2347,2023-07,0.0
