id,symbol,type,internal_id,denominator,margin,contract_type,contract_size,first_capture,end_date
lightusdt,LIGHT,perpetual,perpetual-LIGHT-USDT:USDT,USDT,USDT,perpetual,1.0,2025-09-27T00:00:00.000Z,
liteusdt,LITE,perpetual,perpetual-LITE-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-15T00:00:00.000Z,
llyusdt,LLY,perpetual,perpetual-LLY-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-01T00:00:00.000Z,
lrcxusdt,LRCX,perpetual,perpetual-LRCX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-22T00:00:00.000Z,
metausdt,META,perpetual,perpetual-META-USDT:USDT,USDT,USDT,perpetual,1.0,2026-03-26T00:00:00.000Z,
monusdt,MON,perpetual,perpetual-MON-USDT:USDT,USDT,USDT,perpetual,1.0,2025-10-10T00:00:00.000Z,
mrvlusdt,MRVL,perpetual,perpetual-MRVL-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-15T00:00:00.000Z,
msftusdt,MSFT,perpetual,perpetual-MSFT-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-20T00:00:00.000Z,
mstrusdt,MSTR,perpetual,perpetual-MSTR-USDT:USDT,USDT,USDT,perpetual,1.0,2026-02-09T00:00:00.000Z,
muusdt,MU,perpetual,perpetual-MU-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-07T00:00:00.000Z,
muuusdt,MUU,perpetual,perpetual-MUU-USDT:USDT,USDT,USDT,perpetual,,2026-07-16T00:00:00.000Z,
mvllusdt,MVLL,perpetual,perpetual-MVLL-USDT:USDT,USDT,USDT,perpetual,,2026-06-29T00:00:00.000Z,
nbisusdt,NBIS,perpetual,perpetual-NBIS-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-26T00:00:00.000Z,
nflxusdt,NFLX,perpetual,perpetual-NFLX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-09T00:00:00.000Z,
nokusdt,NOK,perpetual,perpetual-NOK-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-01T00:00:00.000Z,
nowusdt,NOW,perpetual,perpetual-NOW-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-03T00:00:00.000Z,
nvdausdt,NVDA,perpetual,perpetual-NVDA-USDT:USDT,USDT,USDT,perpetual,1.0,2026-03-26T00:00:00.000Z,
nvousdt,NVO,perpetual,perpetual-NVO-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-01T00:00:00.000Z,
ondsusdt,ONDS,perpetual,perpetual-ONDS-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-03T00:00:00.000Z,
openaiusdt,OPENAI,perpetual,perpetual-OPENAI-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-26T00:00:00.000Z,
orclusdt,ORCL,perpetual,perpetual-ORCL-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-15T00:00:00.000Z,
paypusdt,PAYP,perpetual,perpetual-PAYP-USDT:USDT,USDT,USDT,perpetual,1.0,2026-03-23T00:00:00.000Z,
pharosusdt,PHAROS,perpetual,perpetual-PHAROS-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-14T00:00:00.000Z,
pltrusdt,PLTR,perpetual,perpetual-PLTR-USDT:USDT,USDT,USDT,perpetual,1.0,2026-02-09T00:00:00.000Z,
qcomusdt,QCOM,perpetual,perpetual-QCOM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-06T00:00:00.000Z,
qntxusdt,QNTX,perpetual,perpetual-QNTX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-29T00:00:00.000Z,
qqqusdt,QQQ,perpetual,perpetual-QQQ-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-06T00:00:00.000Z,
raysolusdt,RAYSOL,perpetual,perpetual-RAYSOL-USDT:USDT,USDT,USDT,perpetual,1.0,2024-12-10T00:00:00.000Z,
rivnusdt,RIVN,perpetual,perpetual-RIVN-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-10T00:00:00.000Z,
rklbusdt,RKLB,perpetual,perpetual-RKLB-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-18T00:00:00.000Z,
samsungusdt,SAMSUNG,perpetual,perpetual-SAMSUNG-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-02T00:00:00.000Z,
sirenusdt,SIREN,perpetual,perpetual-SIREN-USDT:USDT,USDT,USDT,perpetual,1.0,2025-03-22T00:00:00.000Z,
skhynixusdt,SKHYNIX,perpetual,perpetual-SKHYNIX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-02T00:00:00.000Z,
skhyusdt,SKHY,perpetual,perpetual-SKHY-USDT:USDT,USDT,USDT,perpetual,,2026-07-10T00:00:00.000Z,
smciusdt,SMCI,perpetual,perpetual-SMCI-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-22T00:00:00.000Z,
sndkusdt,SNDK,perpetual,perpetual-SNDK-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-07T00:00:00.000Z,
snowusdt,SNOW,perpetual,perpetual-SNOW-USDT:USDT,USDT,USDT,perpetual,,2026-07-10T00:00:00.000Z,
snxxusdt,SNXX,perpetual,perpetual-SNXX-USDT:USDT,USDT,USDT,perpetual,,2026-07-09T00:00:00.000Z,
sonyusdt,SONY,perpetual,perpetual-SONY-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-22T00:00:00.000Z,
soxlusdt,SOXL,perpetual,perpetual-SOXL-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-15T00:00:00.000Z,
soxsusdt,SOXS,perpetual,perpetual-SOXS-USDT:USDT,USDT,USDT,perpetual,,2026-07-16T00:00:00.000Z,
